"Team","Value","Squad size","Date"
"Liverpool FC","£788.40m",25,"2018-10-15"
"Manchester City","£952.20m",26,"2018-10-15"
"Chelsea FC","£766.58m",27,"2018-10-15"
"Manchester United","£769.50m",26,"2018-10-15"
"Tottenham Hotspur","£747.45m",26,"2018-10-15"
"Arsenal FC","£498.60m",25,"2018-10-15"
"Everton FC","£359.55m",28,"2018-10-15"
"Leicester City","£287.55m",28,"2018-10-15"
"Wolverhampton Wanderers","£172.35m",23,"2018-10-15"
"Aston Villa","£98.78m",25,"2018-10-15"
"West Ham United","£256.95m",25,"2018-10-15"
"Newcastle United","£156.60m",25,"2018-10-15"
"Brighton & Hove Albion","£159.30m",24,"2018-10-15"
"Southampton FC","£237.24m",25,"2018-10-15"
"Fulham FC","£218.25m",25,"2018-10-15"
"Crystal Palace","£193.73m",26,"2018-10-15"
"Leeds United","£57.69m",23,"2018-10-15"
"Sheffield United","£29.43m",25,"2018-10-15"
"Burnley FC","£163.58m",24,"2018-10-15"
"West Bromwich Albion","£97.38m",25,"2018-10-15"
