"","Team","Value","Squad size","Date"
"1","Hull City","€45.85m",25,"2018-12-01"
"2","Ipswich Town","€20.25m",28,"2018-12-01"
"3","Blackpool FC","€5.25m",29,"2018-12-01"
"4","Sunderland AFC","€23.20m",25,"2018-12-01"
"5","Shrewsbury Town","€3.83m",28,"2018-12-01"
"6","Charlton Athletic","€11.65m",26,"2018-12-01"
"7","Fleetwood Town","€9.45m",26,"2018-12-01"
"8","Milton Keynes Dons","€6.00m",32,"2018-12-01"
"9","Oxford United","€7.00m",27,"2018-12-01"
"10","Wigan Athletic","€24.38m",30,"2018-12-01"
"11","Swindon Town","€3.15m",25,"2018-12-01"
"12","Doncaster Rovers","€3.55m",32,"2018-12-01"
"13","Portsmouth FC","€6.90m",24,"2018-12-01"
"14","Burton Albion","€6.75m",29,"2018-12-01"
"15","Gillingham FC","€2.85m",27,"2018-12-01"
"16","Bristol Rovers","€4.08m",25,"2018-12-01"
"17","Plymouth Argyle","€5.95m",34,"2018-12-01"
"18","Northampton Town","€4.00m",26,"2018-12-01"
"19","Lincoln City","€4.55m",24,"2018-12-01"
"20","Peterborough United","€6.60m",24,"2018-12-01"
"21","Rochdale AFC","€6.20m",28,"2018-12-01"
"22","Crewe Alexandra","€2.28m",30,"2018-12-01"
"23","AFC Wimbledon","€3.13m",25,"2018-12-01"
"24","Accrington Stanley","€2.03m",28,"2018-12-01"
