"Team","Value","Squad size","Date"
"Liverpool FC","£341.73m",28,"2016-12-01"
"Manchester City","£471.83m",23,"2016-12-01"
"Chelsea FC","£470.07m",26,"2016-12-01"
"Manchester United","£493.43m",27,"2016-12-01"
"Tottenham Hotspur","£337.50m",25,"2016-12-01"
"Arsenal FC","£441.45m",29,"2016-12-01"
"Everton FC","£223.43m",28,"2016-12-01"
"Leicester City","£193.95m",26,"2016-12-01"
"Wolverhampton Wanderers","£44.82m",31,"2016-12-01"
"Aston Villa","£90.23m",26,"2016-12-01"
"West Ham United","£221.40m",27,"2016-12-01"
"Newcastle United","£114.62m",27,"2016-12-01"
"Brighton & Hove Albion","£43.07m",27,"2016-12-01"
"Southampton FC","£184.50m",27,"2016-12-01"
"Fulham FC","£50.31m",26,"2016-12-01"
"Crystal Palace","£144.68m",25,"2016-12-01"
"Leeds United","£30.74m",27,"2016-12-01"
"Sheffield United","£6.32m",24,"2016-12-01"
"Burnley FC","£62.10m",22,"2016-12-01"
"West Bromwich Albion","£99.54m",22,"2016-12-01"
