"Team","Value","Squad size","Date"
"Salford City","£6.23m",25,"2020-11-15"
"Bolton Wanderers","£3.17m",30,"2020-11-15"
"Oldham Athletic","£3.17m",28,"2020-11-15"
"Barrow AFC","£2.18m",26,"2020-11-15"
"Morecambe FC","£2.70m",23,"2020-11-15"
"Mansfield Town","£2.43m",23,"2020-11-15"
"Tranmere Rovers","£2.95m",28,"2020-11-15"
"Grimsby Town","£2.50m",32,"2020-11-15"
"Leyton Orient","£2.43m",25,"2020-11-15"
"Colchester United","£2.66m",24,"2020-11-15"
"Scunthorpe United","£2.25m",34,"2020-11-15"
"Bradford City","£2.36m",26,"2020-11-15"
"Port Vale FC","£2.18m",26,"2020-11-15"
"Crawley Town","£1.87m",33,"2020-11-15"
"Exeter City","£2.00m",29,"2020-11-15"
"Newport County","£1.87m",25,"2020-11-15"
"Southend United","£3.33m",27,"2020-11-15"
"Cheltenham Town","£2.09m",26,"2020-11-15"
"Cambridge United","£1.69m",25,"2020-11-15"
"Carlisle United","£1.87m",30,"2020-11-15"
"Stevenage FC","£1.40m",24,"2020-11-15"
"Forest Green Rovers","£1.44m",26,"2020-11-15"
"Walsall FC","£1.49m",28,"2020-11-15"
"Harrogate Town","£923Th.",23,"2020-11-15"
