"","Team","Value","Squad size","Date"
"1","Salford City","€650Th.",25,"2018-03-15"
"2","Southend United","€5.40m",28,"2018-03-15"
"3","Bolton Wanderers","€22.55m",29,"2018-03-15"
"4","Oldham Athletic","€7.58m",28,"2018-03-15"
"5","Tranmere Rovers","€2.00m",31,"2018-03-15"
"6","Morecambe FC","€2.68m",27,"2018-03-15"
"7","Grimsby Town","€3.65m",31,"2018-03-15"
"8","Colchester United","€3.53m",24,"2018-03-15"
"9","Leyton Orient","€2.68m",33,"2018-03-15"
"10","Mansfield Town","€4.35m",29,"2018-03-15"
"11","Bradford City","€5.53m",34,"2018-03-15"
"12","Scunthorpe United","€6.75m",28,"2018-03-15"
"13","Barrow AFC","€1.15m",19,"2018-03-15"
"14","Port Vale FC","€2.33m",33,"2018-03-15"
"15","Cheltenham Town","€2.75m",28,"2018-03-15"
"16","Exeter City","€4.25m",33,"2018-03-15"
"17","Carlisle United","€3.00m",28,"2018-03-15"
"18","Crawley Town","€2.98m",24,"2018-03-15"
"19","Newport County","€2.05m",23,"2018-03-15"
"20","Cambridge United","€2.60m",25,"2018-03-15"
"21","Walsall FC","€4.48m",24,"2018-03-15"
"22","Forest Green Rovers","€2.53m",30,"2018-03-15"
"23","Stevenage FC","€2.23m",28,"2018-03-15"
"24","Harrogate Town","€925Th.",25,"2018-03-15"
