"Team","Value","Squad size","Date"
"Ipswich Town","£17.75m",28,"2016-05-01"
"Hull City","£62.06m",26,"2016-05-01"
"Sunderland AFC","£77.18m",23,"2016-05-01"
"Blackpool FC","£3.53m",26,"2016-05-01"
"Charlton Athletic","£24.26m",31,"2016-05-01"
"Milton Keynes Dons","£8.87m",24,"2016-05-01"
"Portsmouth FC","£4.16m",25,"2016-05-01"
"Fleetwood Town","£4.64m",31,"2016-05-01"
"Shrewsbury Town","£4.23m",27,"2016-05-01"
"Swindon Town","£3.15m",25,"2016-05-01"
"Oxford United","£2.68m",27,"2016-05-01"
"Wigan Athletic","£9.77m",26,"2016-05-01"
"Lincoln City","£968Th.",22,"2016-05-01"
"Doncaster Rovers","£4.57m",25,"2016-05-01"
"Gillingham FC","£3.38m",28,"2016-05-01"
"Bristol Rovers","£1.94m",28,"2016-05-01"
"Plymouth Argyle","£2.54m",23,"2016-05-01"
"Burton Albion","£3.74m",26,"2016-05-01"
"Crewe Alexandra","£2.25m",26,"2016-05-01"
"Northampton Town","£4.01m",23,"2016-05-01"
"Peterborough United","£3.49m",26,"2016-05-01"
"Rochdale AFC","£3.92m",28,"2016-05-01"
"AFC Wimbledon","£2.61m",27,"2016-05-01"
"Accrington Stanley","£1.42m",30,"2016-05-01"
