"Team","Value","Squad size","Date"
"AFC Bournemouth","£109.58m",27,"2016-11-01"
"Norwich City","£70.29m",28,"2016-11-01"
"Watford FC","£116.55m",28,"2016-11-01"
"Brentford FC","£18.05m",24,"2016-11-01"
"Cardiff City","£36.72m",28,"2016-11-01"
"Bristol City","£18.00m",25,"2016-11-01"
"Swansea City","£100.62m",25,"2016-11-01"
"Stoke City","£154.13m",27,"2016-11-01"
"Reading FC","£20.48m",28,"2016-11-01"
"Blackburn Rovers","£19.76m",27,"2016-11-01"
"Nottingham Forest","£31.14m",26,"2016-11-01"
"Middlesbrough FC","£92.48m",27,"2016-11-01"
"Derby County","£56.52m",27,"2016-11-01"
"Huddersfield Town","£17.06m",24,"2016-11-01"
"Birmingham City","£14.58m",25,"2016-11-01"
"Millwall FC","£6.21m",24,"2016-11-01"
"Sheffield Wednesday","£47.88m",31,"2016-11-01"
"Preston North End","£15.91m",28,"2016-11-01"
"Queens Park Rangers","£42.93m",27,"2016-11-01"
"Barnsley FC","£7.04m",26,"2016-11-01"
"Luton Town","£3.38m",27,"2016-11-01"
"Coventry City","£5.27m",29,"2016-11-01"
"Rotherham United","£12.56m",27,"2016-11-01"
"Wycombe Wanderers","£3.11m",26,"2016-11-01"
