"","Team","Value","Squad size","Date"
"1","Salford City","€50Th.",3,"2013-06-15"
"2","Southend United","€3.85m",26,"2013-06-15"
"3","Bolton Wanderers","€44.10m",30,"2013-06-15"
"4","Oldham Athletic","€4.05m",26,"2013-06-15"
"5","Tranmere Rovers","€2.55m",21,"2013-06-15"
"6","Morecambe FC","€2.35m",22,"2013-06-15"
"7","Grimsby Town","€1.53m",21,"2013-06-15"
"8","Colchester United","€5.48m",24,"2013-06-15"
"9","Leyton Orient","€5.48m",22,"2013-06-15"
"10","Mansfield Town","€1.98m",31,"2013-06-15"
"11","Bradford City","€5.18m",24,"2013-06-15"
"12","Scunthorpe United","€4.15m",22,"2013-06-15"
"13","Barrow AFC","€900Th.",18,"2013-06-15"
"14","Port Vale FC","€3.80m",24,"2013-06-15"
"15","Cheltenham Town","€1.93m",18,"2013-06-15"
"16","Exeter City","€4.15m",27,"2013-06-15"
"17","Carlisle United","€3.98m",23,"2013-06-15"
"18","Crawley Town","€3.38m",25,"2013-06-15"
"19","Newport County","€1.83m",23,"2013-06-15"
"20","Cambridge United","€400Th.",26,"2013-06-15"
"21","Walsall FC","€3.65m",23,"2013-06-15"
"22","Forest Green Rovers","€1.33m",25,"2013-06-15"
"23","Stevenage FC","€4.93m",26,"2013-06-15"
"24","Harrogate Town","€1.55m",35,"2013-06-15"
