"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€106.00m",26,"2017-03-15"
"2","Norwich City","€70.15m",28,"2017-03-15"
"3","Watford FC","€127.25m",26,"2017-03-15"
"4","Brentford FC","€24.15m",23,"2017-03-15"
"5","Cardiff City","€32.90m",24,"2017-03-15"
"6","Bristol City","€24.70m",26,"2017-03-15"
"7","Swansea City","€127.35m",27,"2017-03-15"
"8","Reading FC","€39.25m",31,"2017-03-15"
"9","Stoke City","€168.25m",25,"2017-03-15"
"10","Blackburn Rovers","€20.70m",25,"2017-03-15"
"11","Nottingham Forest","€48.05m",32,"2017-03-15"
"12","Middlesbrough FC","€99.50m",25,"2017-03-15"
"13","Derby County","€62.10m",26,"2017-03-15"
"14","Huddersfield Town","€24.20m",25,"2017-03-15"
"15","Birmingham City","€26.78m",27,"2017-03-15"
"16","Millwall FC","€7.18m",24,"2017-03-15"
"17","Sheffield Wednesday","€61.88m",29,"2017-03-15"
"18","Preston North End","€17.10m",26,"2017-03-15"
"19","Queens Park Rangers","€35.90m",27,"2017-03-15"
"20","Barnsley FC","€13.30m",27,"2017-03-15"
"21","Luton Town","€3.85m",25,"2017-03-15"
"22","Coventry City","€5.75m",28,"2017-03-15"
"23","Rotherham United","€12.35m",31,"2017-03-15"
"24","Wycombe Wanderers","€3.40m",25,"2017-03-15"
