"","Team","Value","Squad size","Date"
"1","Liverpool FC","€241.50m",23,"2013-04-01"
"2","Manchester City","€433.25m",24,"2013-04-01"
"3","Chelsea FC","€386.75m",24,"2013-04-01"
"4","Manchester United","€421.25m",26,"2013-04-01"
"5","Tottenham Hotspur","€266.50m",23,"2013-04-01"
"6","Arsenal FC","€281.50m",24,"2013-04-01"
"7","Everton FC","€137.75m",23,"2013-04-01"
"8","Leicester City","€26.85m",27,"2013-04-01"
"9","Wolverhampton Wanderers","€49.00m",32,"2013-04-01"
"10","Aston Villa","€108.00m",28,"2013-04-01"
"11","West Ham United","€95.00m",25,"2013-04-01"
"12","Newcastle United","€175.00m",29,"2013-04-01"
"13","Southampton FC","€77.00m",23,"2013-04-01"
"14","Brighton & Hove Albion","€24.80m",31,"2013-04-01"
"15","Fulham FC","€78.00m",25,"2013-04-01"
"16","Crystal Palace","€32.50m",27,"2013-04-01"
"17","Leeds United","€18.50m",23,"2013-04-01"
"18","Sheffield United","€9.48m",27,"2013-04-01"
"19","Burnley FC","€23.25m",26,"2013-04-01"
"20","West Bromwich Albion","€87.25m",24,"2013-04-01"
