"","Team","Value","Squad size","Date"
"1","Liverpool FC","€970.15m",26,"2020-05-15"
"2","Manchester City","€1.02bn",23,"2020-05-15"
"3","Chelsea FC","€679.90m",27,"2020-05-15"
"4","Manchester United","€646.70m",27,"2020-05-15"
"5","Tottenham Hotspur","€699.00m",25,"2020-05-15"
"6","Arsenal FC","€579.35m",27,"2020-05-15"
"7","Everton FC","€407.85m",25,"2020-05-15"
"8","Leicester City","€403.40m",26,"2020-05-15"
"9","Wolverhampton Wanderers","€296.60m",24,"2020-05-15"
"10","Aston Villa","€218.25m",27,"2020-05-15"
"11","West Ham United","€287.25m",25,"2020-05-15"
"12","Newcastle United","€246.18m",31,"2020-05-15"
"13","Southampton FC","€182.20m",21,"2020-05-15"
"14","Brighton & Hove Albion","€183.90m",26,"2020-05-15"
"15","Fulham FC","€113.60m",28,"2020-05-15"
"16","Crystal Palace","€171.90m",22,"2020-05-15"
"17","Leeds United","€84.10m",26,"2020-05-15"
"18","Sheffield United","€130.70m",27,"2020-05-15"
"19","Burnley FC","€158.75m",24,"2020-05-15"
"20","West Bromwich Albion","€84.08m",29,"2020-05-15"
