"Team","Value","Squad size","Date"
"Salford City","£1.94m",23,"2018-10-15"
"Southend United","£5.65m",28,"2018-10-15"
"Bolton Wanderers","£18.81m",31,"2018-10-15"
"Oldham Athletic","£3.98m",26,"2018-10-15"
"Tranmere Rovers","£1.96m",29,"2018-10-15"
"Morecambe FC","£2.05m",27,"2018-10-15"
"Grimsby Town","£2.84m",25,"2018-10-15"
"Colchester United","£1.60m",22,"2018-10-15"
"Leyton Orient","£2.03m",25,"2018-10-15"
"Mansfield Town","£3.94m",26,"2018-10-15"
"Bradford City","£4.82m",31,"2018-10-15"
"Scunthorpe United","£8.48m",23,"2018-10-15"
"Barrow AFC","£1.33m",27,"2018-10-15"
"Port Vale FC","£2.00m",28,"2018-10-15"
"Cheltenham Town","£2.43m",29,"2018-10-15"
"Exeter City","£3.13m",26,"2018-10-15"
"Carlisle United","£2.34m",27,"2018-10-15"
"Crawley Town","£2.54m",24,"2018-10-15"
"Newport County","£1.60m",22,"2018-10-15"
"Cambridge United","£1.98m",28,"2018-10-15"
"Walsall FC","£2.25m",26,"2018-10-15"
"Forest Green Rovers","£2.68m",24,"2018-10-15"
"Stevenage FC","£1.58m",26,"2018-10-15"
"Harrogate Town","£720Th.",22,"2018-10-15"
