"Team","Value","Squad size","Date"
"Ipswich Town","£18.45m",27,"2015-06-15"
"Hull City","£83.34m",30,"2015-06-15"
"Sunderland AFC","£73.13m",21,"2015-06-15"
"Blackpool FC","£8.03m",28,"2015-06-15"
"Charlton Athletic","£21.51m",38,"2015-06-15"
"Milton Keynes Dons","£3.96m",21,"2015-06-15"
"Portsmouth FC","£4.14m",24,"2015-06-15"
"Fleetwood Town","£2.97m",33,"2015-06-15"
"Shrewsbury Town","£3.29m",22,"2015-06-15"
"Swindon Town","£4.12m",23,"2015-06-15"
"Oxford United","£2.00m",26,"2015-06-15"
"Wigan Athletic","£23.54m",25,"2015-06-15"
"Lincoln City","£495Th.",21,"2015-06-15"
"Doncaster Rovers","£4.37m",24,"2015-06-15"
"Gillingham FC","£2.09m",21,"2015-06-15"
"Bristol Rovers","£1.51m",24,"2015-06-15"
"Plymouth Argyle","£1.69m",23,"2015-06-15"
"Burton Albion","£2.24m",23,"2015-06-15"
"Crewe Alexandra","£2.30m",26,"2015-06-15"
"Northampton Town","£3.92m",23,"2015-06-15"
"Peterborough United","£5.06m",24,"2015-06-15"
"Rochdale AFC","£3.24m",26,"2015-06-15"
"AFC Wimbledon","£1.46m",24,"2015-06-15"
"Accrington Stanley","£1.24m",23,"2015-06-15"
