"Team","Value","Squad size","Date"
"Liverpool FC","£357.48m",32,"2017-06-15"
"Manchester City","£497.93m",29,"2017-06-15"
"Chelsea FC","£473.18m",28,"2017-06-15"
"Manchester United","£428.85m",27,"2017-06-15"
"Tottenham Hotspur","£386.10m",24,"2017-06-15"
"Arsenal FC","£474.30m",32,"2017-06-15"
"Everton FC","£240.80m",31,"2017-06-15"
"Leicester City","£187.47m",27,"2017-06-15"
"Wolverhampton Wanderers","£43.27m",35,"2017-06-15"
"Aston Villa","£85.50m",27,"2017-06-15"
"West Ham United","£193.91m",32,"2017-06-15"
"Newcastle United","£115.65m",31,"2017-06-15"
"Southampton FC","£208.35m",31,"2017-06-15"
"Brighton & Hove Albion","£45.50m",29,"2017-06-15"
"Fulham FC","£45.09m",28,"2017-06-15"
"Crystal Palace","£154.96m",30,"2017-06-15"
"Leeds United","£34.56m",27,"2017-06-15"
"Sheffield United","£8.19m",25,"2017-06-15"
"Burnley FC","£76.05m",26,"2017-06-15"
"West Bromwich Albion","£88.07m",21,"2017-06-15"
