"","Team","Value","Squad size","Date"
"1","Hull City","€89.75m",26,"2015-05-01"
"2","Ipswich Town","€23.95m",25,"2015-05-01"
"3","Blackpool FC","€6.93m",25,"2015-05-01"
"4","Sunderland AFC","€84.75m",23,"2015-05-01"
"5","Shrewsbury Town","€3.85m",25,"2015-05-01"
"6","Charlton Athletic","€23.25m",30,"2015-05-01"
"7","Fleetwood Town","€3.95m",30,"2015-05-01"
"8","Milton Keynes Dons","€11.30m",25,"2015-05-01"
"9","Oxford United","€2.43m",26,"2015-05-01"
"10","Wigan Athletic","€28.90m",27,"2015-05-01"
"11","Swindon Town","€6.53m",26,"2015-05-01"
"12","Doncaster Rovers","€5.25m",25,"2015-05-01"
"13","Portsmouth FC","€4.90m",27,"2015-05-01"
"14","Burton Albion","€2.74m",25,"2015-05-01"
"15","Gillingham FC","€2.70m",25,"2015-05-01"
"16","Bristol Rovers","€1.88m",25,"2015-05-01"
"17","Plymouth Argyle","€2.18m",25,"2015-05-01"
"18","Northampton Town","€4.40m",26,"2015-05-01"
"19","Lincoln City","€600Th.",23,"2015-05-01"
"20","Peterborough United","€5.78m",25,"2015-05-01"
"21","Rochdale AFC","€3.63m",25,"2015-05-01"
"22","Crewe Alexandra","€3.68m",28,"2015-05-01"
"23","AFC Wimbledon","€1.63m",27,"2015-05-01"
"24","Accrington Stanley","€1.43m",27,"2015-05-01"
