"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.05m",26,"2010-12-15"
"2","Norwich City","€17.75m",29,"2010-12-15"
"3","Watford FC","€10.00m",22,"2010-12-15"
"4","Brentford FC","€8.40m",28,"2010-12-15"
"5","Cardiff City","€33.55m",24,"2010-12-15"
"6","Bristol City","€20.50m",29,"2010-12-15"
"7","Swansea City","€20.13m",32,"2010-12-15"
"8","Reading FC","€20.73m",26,"2010-12-15"
"9","Stoke City","€80.00m",23,"2010-12-15"
"10","Blackburn Rovers","€73.25m",22,"2010-12-15"
"11","Nottingham Forest","€32.55m",27,"2010-12-15"
"12","Middlesbrough FC","€42.05m",27,"2010-12-15"
"13","Derby County","€15.85m",34,"2010-12-15"
"14","Huddersfield Town","€11.05m",25,"2010-12-15"
"15","Birmingham City","€74.05m",24,"2010-12-15"
"16","Millwall FC","€12.08m",29,"2010-12-15"
"17","Sheffield Wednesday","€15.18m",23,"2010-12-15"
"18","Preston North End","€17.63m",33,"2010-12-15"
"19","Queens Park Rangers","€30.10m",28,"2010-12-15"
"20","Barnsley FC","€16.10m",27,"2010-12-15"
"21","Luton Town","€2.20m",32,"2010-12-15"
"22","Coventry City","€15.53m",29,"2010-12-15"
"23","Rotherham United","€2.88m",28,"2010-12-15"
"24","Wycombe Wanderers","€3.95m",26,"2010-12-15"
