"","Team","Value","Squad size","Date"
"1","Liverpool FC","€876.00m",25,"2018-10-01"
"2","Manchester City","€1.06bn",26,"2018-10-01"
"3","Chelsea FC","€851.75m",27,"2018-10-01"
"4","Manchester United","€855.00m",26,"2018-10-01"
"5","Tottenham Hotspur","€830.50m",26,"2018-10-01"
"6","Arsenal FC","€554.00m",25,"2018-10-01"
"7","Everton FC","€399.50m",28,"2018-10-01"
"8","Leicester City","€319.50m",28,"2018-10-01"
"9","Wolverhampton Wanderers","€191.50m",23,"2018-10-01"
"10","Aston Villa","€109.75m",25,"2018-10-01"
"11","West Ham United","€285.50m",25,"2018-10-01"
"12","Newcastle United","€174.00m",25,"2018-10-01"
"13","Southampton FC","€263.60m",25,"2018-10-01"
"14","Brighton & Hove Albion","€177.00m",24,"2018-10-01"
"15","Fulham FC","€242.50m",25,"2018-10-01"
"16","Crystal Palace","€215.25m",26,"2018-10-01"
"17","Leeds United","€64.10m",23,"2018-10-01"
"18","Sheffield United","€32.70m",25,"2018-10-01"
"19","Burnley FC","€181.75m",24,"2018-10-01"
"20","West Bromwich Albion","€103.20m",24,"2018-10-01"
